site_code,location_code,sku,lot_number,serial_number,quantity,uom,stock_class,unit_cost,expiry_date,counted_on,pv_ref_ext,pv_line_ref_ext
CMF-ALIGARH,BIN-C02,BRG-6204,,,762.000000,EA,owned,113.2500,,2026-09-19,PV-SHEET-03,14
CMF-ALIGARH,BIN-C01,MTR-7.5KW,,SN-88010,1,EA,owned,13700.0000,,2026-09-19,PV-SHEET-03,15
CMF-ALIGARH,BIN-R02,PROTO-BRKT-V3,,,715.000000,EA,prototype,,,2026-09-19,PV-SHEET-03,16
CMF-ALIGARH,BIN-R01,PKG-CARTON-L,,,782.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-03,17
CMF-ALIGARH,BIN-A01,CUST-ROD-20MM,LOT-0036,,401.500000,KG,job_work,70.0000,2027-06-28,2026-09-19,PV-SHEET-03,18
CMF-ALIGARH,BIN-C02,RM-SHEET-2MM,LOT-0037,,293.800000,KG,owned,84.5000,,2026-09-19,PV-SHEET-03,19
CMF-ALIGARH,BIN-C02,GEARBOX-40,,SN-88011,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-03,20
CMF-ALIGARH,BIN-A02,RM-ROD-12MM,LOT-0038,,1491.500000,KG,owned,92.0000,,2026-09-19,PV-SHEET-03,21
CMF-ALIGARH,BIN-B02,WELD-WIRE-1.2,LOT-0039,,1019.900000,KG,vmi,,2027-05-28,2026-09-19,PV-SHEET-03,22
CMF-ALIGARH,BIN-A02,PKG-CARTON-L,,,501.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-03,23
CMF-ALIGARH,BIN-A01,MTR-7.5KW,,SN-88012,1,EA,owned,13700.0000,,2026-09-19,PV-SHEET-03,24
CMF-ALIGARH,BIN-C02,RM-SHEET-1MM,LOT-0040,,1286.200000,KG,owned,77.0000,2028-08-28,2026-09-19,PV-SHEET-03,25
CMF-ALIGARH,BIN-A01,FAST-M10-NUT,LOT-0041,,500.000000,EA,consignment,,,2026-09-19,PV-SHEET-04,1
CMF-ALIGARH,BIN-A02,RM-ROD-16MM,LOT-0042,,1133.800000,KG,owned,99.5000,,2026-09-19,PV-SHEET-04,2
CMF-ALIGARH,BIN-A01,PKG-CARTON-L,,,637.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-04,3
CMF-ALIGARH,BIN-R01,FAST-M8-BOLT,LOT-0043,,586.000000,EA,consignment,,,2026-09-19,PV-SHEET-04,4
CMF-ALIGARH,BIN-A02,FAST-M8-BOLT,LOT-0044,,164.000000,EA,consignment,,2027-09-28,2026-09-19,PV-SHEET-04,5
CMF-ALIGARH,BIN-B01,CUST-PLATE-8MM,LOT-0045,,1504.500000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-04,6
CMF-ALIGARH,BIN-R01,RM-COIL-3MM,LOT-0046,,981.400000,KG,owned,69.5000,,2026-09-19,PV-SHEET-04,7
CMF-ALIGARH,BIN-B01,GEARBOX-40,,SN-88013,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-04,8
CMF-ALIGARH,BIN-C01,PKG-PALLET,,,511.000000,EA,owned,50.2500,,2026-09-19,PV-SHEET-04,9
CMF-ALIGARH,BIN-C01,RM-ROD-12MM,LOT-0047,,2105.900000,KG,owned,92.0000,,2026-09-19,PV-SHEET-04,10
CMF-ALIGARH,BIN-R02,RM-ROD-12MM,LOT-0048,,2202.300000,KG,owned,92.0000,,2026-09-19,PV-SHEET-04,11
CMF-ALIGARH,BIN-R02,MTR-3.7KW,,SN-88014,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-04,12
CMF-ALIGARH,BIN-B02,GEARBOX-40,,SN-88015,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-04,13
CMF-ALIGARH,BIN-A02,MTR-3.7KW,,SN-88016,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-04,14
CMF-ALIGARH,BIN-C01,CON-GLOVES,,,680.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-04,15
CMF-ALIGARH,BIN-J02,FAST-M8-BOLT,LOT-0049,,247.000000,EA,consignment,,2027-05-28,2026-09-19,PV-SHEET-04,16
CMF-ALIGARH,BIN-C02,MTR-3.7KW,,SN-88017,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-04,17
CMF-ALIGARH,BIN-A01,FAST-M8-BOLT,LOT-0050,,397.000000,EA,consignment,,2028-04-28,2026-09-19,PV-SHEET-04,18
CMF-ALIGARH,BIN-A01,MTR-7.5KW,,SN-88018,1,EA,owned,13700.0000,,2026-09-19,PV-SHEET-04,19
CMF-ALIGARH,BIN-B01,RM-SHEET-1MM,LOT-0051,,252.700000,KG,owned,77.0000,,2026-09-19,PV-SHEET-04,20
CMF-ALIGARH,BIN-R02,RM-SHEET-2MM,LOT-0052,,2356.000000,KG,owned,84.5000,,2026-09-19,PV-SHEET-04,21
CMF-ALIGARH,BIN-A02,RM-COIL-3MM,LOT-0053,,1841.700000,KG,owned,69.5000,,2026-09-19,PV-SHEET-04,22
CMF-ALIGARH,BIN-R02,RM-SHEET-1MM,LOT-0054,,741.000000,KG,owned,77.0000,,2026-09-19,PV-SHEET-04,23
CMF-ALIGARH,BIN-R02,FAST-M8-BOLT,LOT-0055,,467.000000,EA,consignment,,,2026-09-19,PV-SHEET-04,24
CMF-ALIGARH,BIN-C01,WELD-WIRE-1.2,LOT-0056,,1885.400000,KG,vmi,,,2026-09-19,PV-SHEET-04,25
CMF-ALIGARH,BIN-B02,CON-GLOVES,,,67.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-05,1
CMF-ALIGARH,BIN-R01,BRG-6204,,,315.000000,EA,owned,113.2500,,2026-09-19,PV-SHEET-05,2
CMF-ALIGARH,BIN-R01,PKG-PALLET,,,303.000000,EA,owned,50.2500,,2026-09-19,PV-SHEET-05,3
CMF-ALIGARH,BIN-R01,RM-SHEET-1MM,LOT-0057,,964.100000,KG,owned,77.0000,2027-01-28,2026-09-19,PV-SHEET-05,4
CMF-ALIGARH,BIN-B01,SEAL-35MM,,,708.000000,EA,owned,155.2500,,2026-09-19,PV-SHEET-05,5
CMF-ALIGARH,BIN-R02,WELD-WIRE-1.2,LOT-0058,,1837.300000,KG,vmi,,,2026-09-19,PV-SHEET-05,6
CMF-ALIGARH,BIN-C02,SEAL-35MM,,,634.000000,EA,owned,155.2500,,2026-09-19,PV-SHEET-05,7
CMF-ALIGARH,BIN-R02,MTR-3.7KW,,SN-88019,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-05,8
CMF-ALIGARH,BIN-B01,PROTO-BRKT-V3,,,309.000000,EA,prototype,,,2026-09-19,PV-SHEET-05,9
CMF-ALIGARH,BIN-R02,MTR-3.7KW,,SN-88020,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-05,10
CMF-ALIGARH,BIN-B02,CUST-ROD-20MM,LOT-0059,,784.000000,KG,job_work,70.0000,,2026-09-19,PV-SHEET-05,11
CMF-ALIGARH,BIN-B01,WELD-WIRE-1.2,LOT-0060,,704.100000,KG,vmi,,,2026-09-19,PV-SHEET-05,12
CMF-ALIGARH,BIN-B01,VFD-5HP,,SN-88021,1,EA,owned,22100.0000,,2026-09-19,PV-SHEET-05,13
CMF-ALIGARH,BIN-C02,WELD-WIRE-1.2,LOT-0061,,1018.300000,KG,vmi,,2028-09-28,2026-09-19,PV-SHEET-05,14
CMF-ALIGARH,BIN-R02,CON-GLOVES,,,713.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-05,15
CMF-ALIGARH,BIN-A01,RM-ROD-16MM,LOT-0062,,2371.000000,KG,owned,99.5000,,2026-09-19,PV-SHEET-05,16
CMF-ALIGARH,BIN-R01,RM-ROD-16MM,LOT-0063,,308.100000,KG,owned,99.5000,,2026-09-19,PV-SHEET-05,17
CMF-ALIGARH,BIN-C01,SEAL-35MM,,,341.000000,EA,owned,155.2500,,2026-09-19,PV-SHEET-05,18
CMF-ALIGARH,BIN-J01,FAST-M10-NUT,LOT-0064,,384.000000,EA,consignment,,,2026-09-19,PV-SHEET-05,19
CMF-ALIGARH,BIN-J01,PKG-CARTON-L,,,359.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-05,20
CMF-ALIGARH,BIN-C01,BRG-6204,,,597.000000,EA,owned,113.2500,,2026-09-19,PV-SHEET-05,21
CMF-ALIGARH,BIN-A01,BRG-6306,,,468.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-05,22
CMF-ALIGARH,BIN-J01,RM-ROD-16MM,LOT-0066,,2271.300000,KG,owned,99.5000,,2026-09-19,PV-SHEET-05,23
CMF-ALIGARH,BIN-C01,RM-COIL-3MM,LOT-0067,,808.000000,KG,owned,,2028-08-28,2026-09-19,PV-SHEET-05,24
CMF-ALIGARH,BIN-C01,BRG-6306,,,686.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-05,25
CMF-ALIGARH,BIN-A01,GEARBOX-40,,SN-88022,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-06,1
CMF-ALIGARH,BIN-C01,RM-PLATE-6MM,LOT-0068,,1747.800000,KG,owned,114.5000,,2026-09-19,PV-SHEET-06,2
CMF-ALIGARH,BIN-J02,CUST-ROD-20MM,LOT-0069,,438.900000,KG,job_work,70.0000,,2026-09-19,PV-SHEET-06,3
CMF-ALIGARH,BIN-B01,CUST-ROD-20MM,LOT-0070,,804.200000,KG,job_work,70.0000,,2026-09-19,PV-SHEET-06,4
CMF-ALIGARH,BIN-R02,PKG-PALLET,,,401.000000,EA,owned,50.2500,,2026-09-19,PV-SHEET-06,5
CMF-ALIGARH,BIN-A02,GEARBOX-40,,SN-88023,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-06,6
CMF-ALIGARH,BIN-C02,RM-SHEET-1MM,LOT-0071,,725.900000,KG,owned,77.0000,,2026-09-19,PV-SHEET-06,7
CMF-ALIGARH,BIN-R02,RM-SHEET-2MM,LOT-0072,,1676.300000,KG,owned,84.5000,2028-12-28,2026-09-19,PV-SHEET-06,8
CMF-ALIGARH,BIN-A01,RM-PIPE-25NB,LOT-0073,,1043.300000,KG,owned,107.0000,,2026-09-19,PV-SHEET-06,9
CMF-ALIGARH,BIN-B01,RM-SHEET-2MM,LOT-0074,,726.700000,KG,owned,84.5000,2028-12-28,2026-09-19,PV-SHEET-06,10
CMF-ALIGARH,BIN-B02,BRG-6306,,,568.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-06,11
CMF-ALIGARH,BIN-R02,FAST-M8-BOLT,LOT-0075,,159.000000,EA,consignment,,2028-08-28,2026-09-19,PV-SHEET-06,12
CMF-ALIGARH,BIN-B02,RM-ROD-16MM,LOT-0076,,1064.200000,KG,owned,99.5000,,2026-09-19,PV-SHEET-06,13
CMF-ALIGARH,BIN-A01,CON-GRIND-DISC,,,770.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-06,14
CMF-ALIGARH,BIN-B02,RM-ROD-16MM,LOT-0077,,1672.100000,KG,owned,99.5000,2027-11-28,2026-09-19,PV-SHEET-06,15
CMF-ALIGARH,BIN-A01,RM-SHEET-2MM,LOT-0078,,1689.000000,KG,owned,84.5000,,2026-09-19,PV-SHEET-06,16
CMF-ALIGARH,BIN-J02,PKG-CARTON-S,,,344.000000,EA,owned,8.2500,,2026-09-19,PV-SHEET-06,17
CMF-ALIGARH,BIN-R02,WELD-WIRE-1.2,LOT-0079,,1648.300000,KG,vmi,,,2026-09-19,PV-SHEET-06,18
CMF-ALIGARH,BIN-A01,RM-PIPE-25NB,LOT-0080,,898.600000,KG,owned,107.0000,,2026-09-19,PV-SHEET-06,19
CMF-ALIGARH,BIN-J01,PROTO-BRKT-V3,,,476.000000,EA,prototype,,,2026-09-19,PV-SHEET-06,20
CMF-ALIGARH,BIN-C02,BRG-6306,,,279.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-06,21
CMF-ALIGARH,BIN-C02,WELD-WIRE-1.2,LOT-0081,,2273.500000,KG,vmi,,,2026-09-19,PV-SHEET-06,22
CMF-ALIGARH,BIN-R02,CON-GRIND-DISC,,,18.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-06,23
CMF-ALIGARH,BIN-C01,RM-SHEET-2MM,LOT-0082,,2203.200000,KG,owned,84.5000,,2026-09-19,PV-SHEET-06,24
CMF-ALIGARH,BIN-R02,FAST-M10-NUT,LOT-0083,,209.000000,EA,consignment,,,2026-09-19,PV-SHEET-06,25
CMF-ALIGARH,BIN-B02,MTR-7.5KW,,SN-88024,1,EA,owned,13700.0000,,2026-09-19,PV-SHEET-07,1
CMF-ALIGARH,BIN-J02,CUST-PLATE-8MM,LOT-0084,,720.900000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-07,2
CMF-ALIGARH,BIN-J02,RM-PIPE-25NB,LOT-0085,,302.300000,KG,owned,107.0000,,2026-09-19,PV-SHEET-07,3
CMF-ALIGARH,BIN-R02,RM-PLATE-6MM,LOT-0086,,249.300000,KG,owned,114.5000,,2026-09-19,PV-SHEET-07,4
CMF-ALIGARH,BIN-J02,RM-ROD-12MM,LOT-0087,,504.000000,KG,owned,92.0000,2027-07-28,2026-09-19,PV-SHEET-07,5
CMF-ALIGARH,BIN-B02,MTR-3.7KW,,SN-88025,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-07,6
CMF-ALIGARH,BIN-C01,RM-SHEET-2MM,LOT-0088,,1476.100000,KG,owned,84.5000,,2026-09-19,PV-SHEET-07,7
CMF-ALIGARH,BIN-B01,FAST-M10-NUT,LOT-0089,,572.000000,EA,consignment,,2027-12-28,2026-09-19,PV-SHEET-07,8
CMF-ALIGARH,BIN-B02,RM-COIL-3MM,LOT-0090,,1887.300000,KG,owned,69.5000,,2026-09-19,PV-SHEET-07,9
CMF-ALIGARH,BIN-R02,WELD-WIRE-1.2,LOT-0091,,2380.200000,KG,vmi,,,2026-09-19,PV-SHEET-07,10
CMF-ALIGARH,BIN-J01,FAST-M10-NUT,LOT-0092,,351.000000,EA,consignment,,2028-03-28,2026-09-19,PV-SHEET-07,11
CMF-ALIGARH,BIN-R02,RM-COIL-3MM,LOT-0093,,481.300000,KG,owned,69.5000,,2026-09-19,PV-SHEET-07,12
CMF-ALIGARH,BIN-R02,FAST-M10-NUT,LOT-0094,,729.000000,EA,consignment,,,2026-09-19,PV-SHEET-07,13
CMF-ALIGARH,BIN-B01,RM-COIL-2MM,LOT-0095,,2292.400000,KG,owned,62.0000,2028-01-28,2026-09-19,PV-SHEET-07,14
CMF-ALIGARH,BIN-B01,PKG-CARTON-S,,,569.000000,EA,owned,8.2500,,2026-09-19,PV-SHEET-07,15
CMF-ALIGARH,BIN-J01,MTR-3.7KW,,SN-88026,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-07,16
CMF-ALIGARH,BIN-C02,PKG-PALLET,,,725.000000,EA,owned,50.2500,,2026-09-19,PV-SHEET-07,17
CMF-ALIGARH,BIN-B02,PKG-CARTON-L,,,586.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-07,18
CMF-ALIGARH,BIN-A01,CUST-SHEET-3MM,LOT-0096,,357.100000,KG,job_work,58.0000,2027-09-28,2026-09-19,PV-SHEET-07,19
CMF-ALIGARH,BIN-C01,PROTO-BRKT-V3,,,453.000000,EA,prototype,,,2026-09-19,PV-SHEET-07,20
CMF-ALIGARH,BIN-C02,RM-ROD-16MM,LOT-0097,,1521.000000,KG,owned,99.5000,,2026-09-19,PV-SHEET-07,21
CMF-ALIGARH,BIN-B02,CUST-PLATE-8MM,LOT-0098,,386.700000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-07,22
CMF-ALIGARH,BIN-J02,BRG-6306,,,584.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-07,23
CMF-ALIGARH,BIN-J02,CON-GRIND-DISC,,,89.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-07,24
CMF-ALIGARH,BIN-J02,RM-PIPE-25NB,LOT-0099,,2457.500000,KG,owned,107.0000,2028-12-28,2026-09-19,PV-SHEET-07,25
CMF-ALIGARH,BIN-C01,RM-PIPE-25NB,LOT-0100,,656.200000,KG,owned,107.0000,,2026-09-19,PV-SHEET-08,1
CMF-ALIGARH,BIN-C01,CUST-PLATE-8MM,LOT-0101,,795.400000,KG,job_work,64.0000,2028-05-28,2026-09-19,PV-SHEET-08,2
CMF-ALIGARH,BIN-B02,RM-COIL-2MM,LOT-0102,,188.700000,KG,owned,62.0000,2027-06-28,2026-09-19,PV-SHEET-08,3
CMF-ALIGARH,BIN-J01,FAST-M10-NUT,LOT-0103,,474.000000,EA,consignment,,2028-07-28,2026-09-19,PV-SHEET-08,4
CMF-ALIGARH,BIN-A01,CUST-SHEET-3MM,LOT-0104,,560.800000,KG,job_work,58.0000,,2026-09-19,PV-SHEET-08,5
CMF-ALIGARH,BIN-J01,RM-COIL-2MM,LOT-0105,,993.500000,KG,owned,62.0000,2028-03-28,2026-09-19,PV-SHEET-08,6
CMF-ALIGARH,BIN-C02,CON-GRIND-DISC,,,335.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-08,7
CMF-ALIGARH,BIN-J02,CUST-SHEET-3MM,LOT-0106,,2147.400000,KG,job_work,58.0000,,2026-09-19,PV-SHEET-08,8
CMF-ALIGARH,BIN-A01,RM-PIPE-25NB,LOT-0107,,2075.900000,KG,owned,107.0000,,2026-09-19,PV-SHEET-08,9
CMF-ALIGARH,BIN-B01,RM-PIPE-25NB,LOT-0108,,719.900000,KG,owned,107.0000,,2026-09-19,PV-SHEET-08,10
CMF-ALIGARH,BIN-C01,FAST-M8-BOLT,LOT-0109,,446.000000,EA,consignment,,,2026-09-19,PV-SHEET-08,11
CMF-ALIGARH,BIN-R02,BRG-6306,,,409.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-08,12
CMF-ALIGARH,BIN-A02,PKG-CARTON-S,,,504.000000,EA,owned,8.2500,,2026-09-19,PV-SHEET-08,13
CMF-ALIGARH,BIN-A01,RM-SHEET-2MM,LOT-0110,,1558.600000,KG,owned,84.5000,,2026-09-19,PV-SHEET-08,14
CMF-ALIGARH,BIN-C01,FAST-M8-BOLT,LOT-0111,,497.000000,EA,consignment,,,2026-09-19,PV-SHEET-08,15
CMF-ALIGARH,BIN-A02,CUST-PLATE-8MM,LOT-0112,,531.600000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-08,16
CMF-ALIGARH,BIN-C02,RM-ROD-12MM,LOT-0113,,1148.400000,KG,owned,92.0000,,2026-09-19,PV-SHEET-08,17
CMF-ALIGARH,BIN-J02,RM-COIL-3MM,LOT-0114,,763.700000,KG,owned,69.5000,,2026-09-19,PV-SHEET-08,18
